['x', 'temperatura', 'najbolji susjed', 'najbolji', 'trenutni'],
[1, 100000.0, 0, 1246.12, 1246.12],
[2, 90000.0, 3602.88, 1246.12, 1246.12],
[3, 81000.0, 6572.78, 3602.88, 3602.88],
[4, 72900.0, 8330.39, 6572.78, 6572.78],
[5, 65610.0, 10663.4, 8330.39, 8330.39],
[6, 59049.0, 12127.2, 10663.4, 10663.4],
[7, 53144.1, 13538.9, 12127.2, 12127.2],
[8, 47829.700000000004, 16545.8, 13538.9, 13538.9],
[9, 43046.7, 28882.8, 16545.8, 16545.8],
[10, 38742.0, 44707, 28882.8, 28882.8],
[11, 34867.8, 72766.3, 44707, 44707],
[12, 31381.100000000002, 97031.9, 72766.3, 72766.3],
[13, 28243.0, 115864, 97031.9, 97031.9],
[14, 25418.699999999997, 129928, 115864, 115864],
[15, 22876.8, 151133, 129928, 129928],
[16, 20589.1, 156071, 151133, 151133],
[17, 18530.2, 158245, 156071, 156071],
[18, 16677.2, 158085, 158245, 158245],
[19, 15009.5, 158115, 158245, 158085],
[20, 13508.5, 159387, 158245, 158115],
[21, 12157.7, 158367, 159387, 159387],
[22, 10941.900000000001, 159128, 159387, 159387],
[23, 9847.71, 158942, 159387, 159387],
[24, 8862.94, 153720, 159387, 159387],
[25, 7976.639999999999, 159774, 159387, 159387],
[26, 7178.9800000000005, 158908, 159774, 159774],
[27, 6461.08, 159424, 159774, 159774],
[28, 5814.969999999999, 159299, 159774, 159774],
[29, 5233.48, 159168, 159774, 159774],
[30, 4710.13, 159462, 159774, 159774],
[31, 4239.12, 159505, 159774, 159774],
[32, 3815.2, 159482, 159774, 159774],
[33, 3433.68, 159978, 159774, 159774],
[34, 3090.3199999999997, 160049, 159978, 159978],
[35, 2781.2799999999997, 159756, 160049, 160049],
[36, 2503.16, 158450, 160049, 160049],
[37, 2252.84, 160716, 160049, 160049],
[38, 2027.56, 160931, 160716, 160716],
[39, 1824.8, 160730, 160931, 160931],
[40, 1642.32, 160945, 160931, 160730],
[41, 1478.09, 160781, 160945, 160945],
[42, 1330.28, 160826, 160945, 160945],
[43, 1197.25, 160759, 160945, 160945],
[44, 1077.53, 160651, 160945, 160759],
[45, 969.774, 160516, 160945, 160759],
[46, 872.796, 160854, 160945, 160759],
[47, 785.5169999999999, 160573, 160945, 160854],
[48, 706.965, 160558, 160945, 160854],
[49, 636.269, 160435, 160945, 160854],
[50, 572.642, 159948, 160945, 160854],
[51, 515.3779999999999, 160890, 160945, 160854],
[52, 463.84000000000003, 160422, 160945, 160890],
[53, 417.456, 160740, 160945, 160890],
[54, 375.71, 160939, 160945, 160890],
[55, 338.13899999999995, 161095, 160945, 160939],
[56, 304.325, 161047, 161095, 161095],
[57, 273.893, 160519, 161095, 161047],
[58, 246.50300000000001, 161063, 161095, 161047],
[59, 221.853, 160993, 161095, 161063],
[60, 199.668, 160680, 161095, 161063],
[61, 179.701, 160250, 161095, 161063],
[62, 161.73100000000002, 160956, 161095, 161063],
[63, 145.558, 159290, 161095, 161063],
[64, 131.00199999999998, 161204, 161095, 161063],
[65, 117.902, 161074, 161204, 161204],
[66, 106.112, 160467, 161204, 161204],
[67, 95.5005, 160634, 161204, 161204],
[68, 85.95039999999999, 160555, 161204, 161204],
[69, 77.3554, 157279, 161204, 161204],
[70, 69.6199, 161202, 161204, 161204],
[71, 62.6579, 159889, 161204, 161202],
[72, 56.3921, 161050, 161204, 161202],
[73, 50.7529, 160972, 161204, 161202],
[74, 45.6776, 161155, 161204, 161202],
[75, 41.10979999999999, 160856, 161204, 161202],
[76, 36.998799999999996, 160948, 161204, 161202],
[77, 33.299, 160874, 161204, 161202],
[78, 29.9691, 160829, 161204, 161202],
[79, 26.9722, 161227, 161204, 161202],
[80, 24.274900000000002, 161026, 161227, 161227],
[81, 21.847500000000004, 160691, 161227, 161227],
[82, 19.6627, 160613, 161227, 161227],
[83, 17.6964, 159033, 161227, 161227],
[84, 15.9268, 161276, 161227, 161227],
[85, 14.334100000000001, 160899, 161276, 161276],
[86, 12.9007, 160571, 161276, 161276],
[87, 11.6106, 161132, 161276, 161276],
[88, 10.4496, 161271, 161276, 161276],
[89, 9.40461, 160742, 161276, 161276],
[90, 8.46415, 161115, 161276, 161276],
[91, 7.61773, 161155, 161276, 161276],
[92, 6.85596, 160963, 161276, 161276],
[93, 6.170369999999999, 161040, 161276, 161276],
[94, 5.55333, 161210, 161276, 161276],
[95, 4.998, 161235, 161276, 161276],
[96, 4.4982, 160998, 161276, 161276],
[97, 4.04838, 160815, 161276, 161276],
[98, 3.6435400000000002, 161287, 161276, 161276],
[99, 3.2791900000000003, 157807, 161287, 161287],
[100, 2.9512699999999996, 159944, 161287, 161287],
