['x', 'temperatura', 'najbolji susjed', 'najbolji', 'trenutni'],
[1, 300000.0, 37075.7, 17790.2, 17790.2],
[2, 270000.0, 64802.6, 37075.7, 37075.7],
[3, 243000.0, 127574, 64802.6, 64802.6],
[4, 218700.0, 212290, 127574, 127574],
[5, 196830.0, 266710, 212290, 212290],
[6, 177147.0, 326313, 266710, 266710],
[7, 159432.3, 328240, 326313, 326313],
[8, 143489.1, 326217, 328240, 328240],
[9, 129140.1, 329741, 328240, 328240],
[10, 116226.0, 329661, 329741, 329741],
[11, 104603.40000000001, 330159, 329741, 329741],
[12, 94143.3, 330277, 330159, 330159],
[13, 84729.0, 330184, 330277, 330277],
[14, 76256.09999999999, 330408, 330277, 330184],
[15, 68630.4, 330532, 330408, 330408],
[16, 61767.299999999996, 330535, 330532, 330532],
[17, 55590.6, 330582, 330535, 330535],
[18, 50031.6, 330576, 330582, 330582],
[19, 45028.5, 330543, 330582, 330576],
[20, 40525.5, 330556, 330582, 330543],
[21, 36473.1, 330519, 330582, 330556],
[22, 32825.700000000004, 330591, 330582, 330556],
[23, 29543.129999999997, 330555, 330591, 330591],
[24, 26588.82, 330573, 330591, 330591],
[25, 23929.92, 330597, 330591, 330573],
[26, 21536.940000000002, 330576, 330597, 330597],
[27, 19383.239999999998, 330543, 330597, 330597],
[28, 17444.91, 330578, 330597, 330597],
[29, 15700.439999999999, 330613, 330597, 330578],
[30, 14130.39, 330543, 330613, 330613],
[31, 12717.359999999999, 330594, 330613, 330613],
[32, 11445.599999999999, 330575, 330613, 330613],
[33, 10301.039999999999, 330599, 330613, 330575],
[34, 9270.96, 328741, 330613, 330599],
[35, 8343.84, 330629, 330613, 330599],
[36, 7509.4800000000005, 330627, 330629, 330629],
[37, 6758.5199999999995, 330638, 330629, 330627],
[38, 6082.68, 330616, 330638, 330638],
[39, 5474.4, 330184, 330638, 330616],
[40, 4926.96, 330636, 330638, 330616],
[41, 4434.2699999999995, 330660, 330638, 330636],
[42, 3990.8399999999997, 330617, 330660, 330660],
[43, 3591.75, 330632, 330660, 330660],
[44, 3232.59, 330646, 330660, 330660],
[45, 2909.322, 330618, 330660, 330660],
[46, 2618.388, 330656, 330660, 330660],
[47, 2356.551, 330641, 330660, 330656],
[48, 2120.895, 330654, 330660, 330641],
[49, 1908.807, 330604, 330660, 330654],
[50, 1717.9260000000002, 330638, 330660, 330654],
[51, 1546.134, 330643, 330660, 330638],
[52, 1391.52, 330630, 330660, 330643],
[53, 1252.3680000000002, 330610, 330660, 330643],
[54, 1127.1299999999999, 330645, 330660, 330643],
[55, 1014.4169999999999, 330596, 330660, 330645],
[56, 912.975, 330497, 330660, 330645],
[57, 821.679, 330590, 330660, 330645],
[58, 739.509, 329724, 330660, 330645],
[59, 665.5590000000001, 330605, 330660, 330645],
[60, 599.004, 330645, 330660, 330645],
[61, 539.103, 330635, 330660, 330645],
[62, 485.19300000000004, 330618, 330660, 330645],
[63, 436.674, 330598, 330660, 330645],
[64, 393.006, 330597, 330660, 330645],
[65, 353.706, 330634, 330660, 330645],
[66, 318.336, 330613, 330660, 330645],
[67, 286.5015, 330513, 330660, 330645],
[68, 257.85119999999995, 330522, 330660, 330645],
[69, 232.0662, 330664, 330660, 330645],
[70, 208.8597, 330618, 330664, 330664],
[71, 187.9737, 330654, 330664, 330664],
[72, 169.1763, 330642, 330664, 330664],
[73, 152.2587, 330647, 330664, 330664],
[74, 137.0328, 330654, 330664, 330664],
[75, 123.32939999999999, 330656, 330664, 330664],
[76, 110.9964, 330594, 330664, 330664],
[77, 99.89699999999999, 330657, 330664, 330664],
[78, 89.9073, 330601, 330664, 330657],
[79, 80.9166, 330656, 330664, 330657],
[80, 72.8247, 330623, 330664, 330656],
[81, 65.5425, 330633, 330664, 330656],
[82, 58.988099999999996, 330621, 330664, 330656],
[83, 53.089200000000005, 330629, 330664, 330656],
[84, 47.7804, 330648, 330664, 330656],
[85, 43.002300000000005, 330634, 330664, 330656],
[86, 38.7021, 330638, 330664, 330656],
[87, 34.8318, 330653, 330664, 330656],
[88, 31.348800000000004, 330637, 330664, 330656],
[89, 28.21383, 330622, 330664, 330656],
[90, 25.39245, 330648, 330664, 330656],
[91, 22.85319, 330113, 330664, 330656],
[92, 20.56788, 330623, 330664, 330656],
[93, 18.51111, 330641, 330664, 330656],
[94, 16.65999, 330638, 330664, 330656],
[95, 300000.0, 330646, 330664, 330656],
[96, 270000.0, 330631, 330664, 330656],
[97, 243000.0, 330649, 330664, 330631],
[98, 218700.0, 330656, 330664, 330649],
[99, 196830.0, 330610, 330664, 330656],
[100, 177147.0, 330627, 330664, 330656],
