Ucitavam podatke iz 1d0nA.pdb...
Ucitavam podatke iz 2d8bA.pdb...
Najbolja teoretska energija: -727272
1. Best = -1246.12; Curr = -1246.12; Neigh = -0; Temp = 10000
2. Best = -1246.12; Curr = -1246.12; Neigh = -3602.88; Temp = 9000
3. Best = -3602.88; Curr = -3602.88; Neigh = -6572.78; Temp = 8100
4. Best = -6572.78; Curr = -6572.78; Neigh = -8330.39; Temp = 7290
5. Best = -8330.39; Curr = -8330.39; Neigh = -10663.4; Temp = 6561
6. Best = -10663.4; Curr = -10663.4; Neigh = -12127.2; Temp = 5904.9
7. Best = -12127.2; Curr = -12127.2; Neigh = -13538.9; Temp = 5314.41
8. Best = -13538.9; Curr = -13538.9; Neigh = -16545.8; Temp = 4782.97
9. Best = -16545.8; Curr = -16545.8; Neigh = -28882.8; Temp = 4304.67
10. Best = -28882.8; Curr = -28882.8; Neigh = -44707; Temp = 3874.2
11. Best = -44707; Curr = -44707; Neigh = -72766.3; Temp = 3486.78
12. Best = -72766.3; Curr = -72766.3; Neigh = -97031.9; Temp = 3138.11
13. Best = -97031.9; Curr = -97031.9; Neigh = -115864; Temp = 2824.3
14. Best = -115864; Curr = -115864; Neigh = -129928; Temp = 2541.87
15. Best = -129928; Curr = -129928; Neigh = -151133; Temp = 2287.68
16. Best = -151133; Curr = -151133; Neigh = -156071; Temp = 2058.91
17. Best = -156071; Curr = -156071; Neigh = -158245; Temp = 1853.02
18. Best = -158245; Curr = -158245; Neigh = -158085; Temp = 1667.72
19. Best = -158245; Curr = -158085; Neigh = -158115; Temp = 1500.95
20. Best = -158245; Curr = -158115; Neigh = -159387; Temp = 1350.85
21. Best = -159387; Curr = -159387; Neigh = -158367; Temp = 1215.77
22. Best = -159387; Curr = -159387; Neigh = -159128; Temp = 1094.19
23. Best = -159387; Curr = -159387; Neigh = -158942; Temp = 984.771
24. Best = -159387; Curr = -159387; Neigh = -153720; Temp = 886.294
25. Best = -159387; Curr = -159387; Neigh = -159774; Temp = 797.664
26. Best = -159774; Curr = -159774; Neigh = -158908; Temp = 717.898
27. Best = -159774; Curr = -159774; Neigh = -159424; Temp = 646.108
28. Best = -159774; Curr = -159774; Neigh = -159299; Temp = 581.497
29. Best = -159774; Curr = -159774; Neigh = -159168; Temp = 523.348
30. Best = -159774; Curr = -159774; Neigh = -159462; Temp = 471.013
31. Best = -159774; Curr = -159774; Neigh = -159505; Temp = 423.912
32. Best = -159774; Curr = -159774; Neigh = -159482; Temp = 381.52
33. Best = -159774; Curr = -159774; Neigh = -159978; Temp = 343.368
34. Best = -159978; Curr = -159978; Neigh = -160049; Temp = 309.032
35. Best = -160049; Curr = -160049; Neigh = -159756; Temp = 278.128
36. Best = -160049; Curr = -160049; Neigh = -158450; Temp = 250.316
37. Best = -160049; Curr = -160049; Neigh = -160716; Temp = 225.284
38. Best = -160716; Curr = -160716; Neigh = -160931; Temp = 202.756
39. Best = -160931; Curr = -160931; Neigh = -160730; Temp = 182.48
40. Best = -160931; Curr = -160730; Neigh = -160945; Temp = 164.232
41. Best = -160945; Curr = -160945; Neigh = -160781; Temp = 147.809
42. Best = -160945; Curr = -160945; Neigh = -160826; Temp = 133.028
43. Best = -160945; Curr = -160945; Neigh = -160759; Temp = 119.725
