Ucitavam podatke iz 1a0iA.pdb...
Rotiram ulazni niz...
Najbolja teoretska energija: -330669
1. Best = -17790.2; Curr = -17790.2; Neigh = -37075.7; Temp = 10000
2. Best = -37075.7; Curr = -37075.7; Neigh = -64802.6; Temp = 9000
3. Best = -64802.6; Curr = -64802.6; Neigh = -127574; Temp = 8100
4. Best = -127574; Curr = -127574; Neigh = -212290; Temp = 7290
5. Best = -212290; Curr = -212290; Neigh = -266710; Temp = 6561
6. Best = -266710; Curr = -266710; Neigh = -326313; Temp = 5904.9
7. Best = -326313; Curr = -326313; Neigh = -328240; Temp = 5314.41
8. Best = -328240; Curr = -328240; Neigh = -326217; Temp = 4782.97
9. Best = -328240; Curr = -328240; Neigh = -329741; Temp = 4304.67
10. Best = -329741; Curr = -329741; Neigh = -329661; Temp = 3874.2
11. Best = -329741; Curr = -329741; Neigh = -330159; Temp = 3486.78
12. Best = -330159; Curr = -330159; Neigh = -330277; Temp = 3138.11
13. Best = -330277; Curr = -330277; Neigh = -330184; Temp = 2824.3
14. Best = -330277; Curr = -330184; Neigh = -330408; Temp = 2541.87
15. Best = -330408; Curr = -330408; Neigh = -330532; Temp = 2287.68
16. Best = -330532; Curr = -330532; Neigh = -330535; Temp = 2058.91
17. Best = -330535; Curr = -330535; Neigh = -330582; Temp = 1853.02
18. Best = -330582; Curr = -330582; Neigh = -330576; Temp = 1667.72
19. Best = -330582; Curr = -330576; Neigh = -330543; Temp = 1500.95
20. Best = -330582; Curr = -330543; Neigh = -330556; Temp = 1350.85
21. Best = -330582; Curr = -330556; Neigh = -330519; Temp = 1215.77
22. Best = -330582; Curr = -330556; Neigh = -330591; Temp = 1094.19
23. Best = -330591; Curr = -330591; Neigh = -330555; Temp = 984.771
24. Best = -330591; Curr = -330591; Neigh = -330573; Temp = 886.294
25. Best = -330591; Curr = -330573; Neigh = -330597; Temp = 797.664
26. Best = -330597; Curr = -330597; Neigh = -330576; Temp = 717.898
27. Best = -330597; Curr = -330597; Neigh = -330543; Temp = 646.108
28. Best = -330597; Curr = -330597; Neigh = -330578; Temp = 581.497
29. Best = -330597; Curr = -330578; Neigh = -330613; Temp = 523.348
30. Best = -330613; Curr = -330613; Neigh = -330543; Temp = 471.013
31. Best = -330613; Curr = -330613; Neigh = -330594; Temp = 423.912
32. Best = -330613; Curr = -330613; Neigh = -330575; Temp = 381.52
33. Best = -330613; Curr = -330575; Neigh = -330599; Temp = 343.368
34. Best = -330613; Curr = -330599; Neigh = -328741; Temp = 309.032
